Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1690.2340862385315
FDW14,OUT017,1481.8506141732275
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.890879999999
FDH56,OUT046,1922.1493817142857
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.882088484849
FDN33,OUT045,1559.342975268818
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.1493817142857
FDQ56,OUT045,1481.8506141732275
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.858654545455
FDM24,OUT049,2286.413267368421
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.8398258992797
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2851.631695876289
NCJ31,OUT035,3737.295775182482
FDG52,OUT046,798.217603539823
NCL19,OUT019,281.48208181818177
FDS10,OUT035,3384.1080642424213
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.217603539823
NCE06,OUT046,2503.501336448598
DRC27,OUT046,4109.900606217618
FDE21,OUT035,1922.1493817142857
NCR42,OUT019,92.67548155339809
FDX51,OUT018,2893.8398258992797
NCR06,OUT018,507.04640366972484
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.501336448598
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484849
FDD48,OUT010,281.48208181818177
NCF18,OUT017,2939.3484761904747
NCD43,OUT027,2517.882088484849
NCD54,OUT018,1752.2524400000004
FDY19,OUT010,281.48208181818177
NCY54,OUT017,2851.631695876289
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1511.8747716981134
FDR14,OUT010,165.9185816513762
NCS41,OUT035,3384.1080642424213
FDF41,OUT035,3737.295775182482
FDU34,OUT046,1987.2510486486485
DRH11,OUT046,935.0323883040941
FDM03,OUT013,1511.8747716981134
FDS31,OUT017,3384.1080642424213
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.970934653465
FDA09,OUT013,2851.631695876289
FDT04,OUT013,507.04640366972484
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1424.594690277777
FDW12,OUT035,2286.413267368421
FDL51,OUT017,3753.0000993630574
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1559.342975268818
FDN40,OUT045,2286.413267368421
FDB35,OUT027,2517.882088484849
FDA22,OUT017,2286.413267368421
NCL06,OUT046,4034.30030689655
FDI35,OUT013,3384.1080642424213
NCW42,OUT045,3753.0000993630574
NCX06,OUT049,2568.3328336448594
FDC37,OUT027,2517.882088484849
FDZ14,OUT018,1752.2524400000004
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.30030689655
DRC36,OUT045,2851.631695876289
FDV21,OUT019,281.48208181818177
FDB53,OUT046,2660.9504030303024
DRP47,OUT019,584.7577647727275
FDA14,OUT013,2660.9504030303024
DRC24,OUT035,2660.9504030303024
FDW21,OUT018,1372.6884907407407
NCH29,OUT046,1559.342975268818
FDU58,OUT013,2893.8398258992797
FDY27,OUT017,2851.631695876289
FDV56,OUT035,1784.4287381818178
FDT59,OUT046,4109.900606217618
FDB23,OUT046,3753.0000993630574
FDR49,OUT045,798.217603539823
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.882088484849
FDU35,OUT018,1372.6884907407407
NCT29,OUT013,1987.2510486486485
FDZ27,OUT046,798.217603539823
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.84702184874
FDZ36,OUT045,3384.1080642424213
NCU05,OUT013,1243.068929770992
FDT39,OUT018,2232.84702184874
FDK60,OUT017,1559.342975268818
FDZ25,OUT017,2894.220710714286
FDG12,OUT046,2243.669596721312
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.890879999999
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539681
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.9525829268273
FDB33,OUT010,346.8972837209303
FDP27,OUT046,3391.5912527272717
FDO38,OUT010,165.9185816513762
FDE28,OUT027,6280.890879999999
