Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1850.0
FDW14,OUT017,1561.0
NCN55,OUT010,1875.0
FDQ58,OUT017,2579.0
FDY38,OUT027,5190.0
FDH56,OUT046,1925.0
FDL48,OUT018,603.0
FDC48,OUT027,2791.0
FDN33,OUT045,1507.0
FDA36,OUT017,3077.0
FDT44,OUT017,1989.0
FDQ56,OUT045,1309.0
NCC54,OUT019,1859.0
FDU11,OUT049,2057.0
DRL59,OUT013,892.0
FDM24,OUT049,2555.0
FDI57,OUT045,3085.0
DRC12,OUT018,2768.0
NCM42,OUT027,3206.0
FDA46,OUT010,1135.0
FDA31,OUT013,2800.0
NCJ31,OUT035,3880.0
FDG52,OUT046,805.0
NCL19,OUT019,367.0
FDS10,OUT035,3019.0
FDX22,OUT010,1455.0
NCF19,OUT035,922.0
NCE06,OUT046,2539.0
DRC27,OUT046,3855.0
FDE21,OUT035,2025.0
NCR42,OUT019,-1357.0
FDX51,OUT018,2869.0
NCR06,OUT018,431.0
FDU31,OUT027,4955.0
FDU59,OUT017,2705.0
FDR03,OUT027,4761.0
FDS49,OUT027,2766.0
FDD48,OUT010,-73.0
NCF18,OUT017,3113.0
NCD43,OUT027,3111.0
NCD54,OUT018,1997.0
FDY19,OUT010,-37.0
NCY54,OUT017,2810.0
NCL19,OUT018,2023.0
FDP23,OUT010,1531.0
FDC26,OUT013,1820.0
FDR14,OUT010,-1031.0
NCS41,OUT035,3028.0
FDF41,OUT035,4047.0
FDU34,OUT046,2003.0
DRH11,OUT046,935.0
FDM03,OUT013,1736.0
FDS31,OUT017,3017.0
FDJ20,OUT017,2093.0
FDV44,OUT027,4500.0
FDG02,OUT049,3109.0
FDA09,OUT013,2904.0
FDT04,OUT013,676.0
FDL58,OUT019,2291.0
FDE52,OUT045,1441.0
FDW12,OUT035,2503.0
FDL51,OUT017,3545.0
NCY42,OUT027,3702.0
FDR07,OUT017,1661.0
FDN40,OUT045,2361.0
FDB35,OUT027,2965.0
FDA22,OUT017,2733.0
NCL06,OUT046,4117.0
FDI35,OUT013,2912.0
NCW42,OUT045,3411.0
NCX06,OUT049,2945.0
FDC37,OUT027,3209.0
FDZ14,OUT018,1735.0
DRG49,OUT049,3959.0
NCG06,OUT045,3956.0
DRC36,OUT045,2723.0
FDV21,OUT019,61.0
FDB53,OUT046,2357.0
DRP47,OUT019,2043.0
FDA14,OUT013,2344.0
DRC24,OUT035,2573.0
FDW21,OUT018,1405.0
NCH29,OUT046,1557.0
FDU58,OUT013,3072.0
FDY27,OUT017,2927.0
FDV56,OUT035,1949.0
FDT59,OUT046,3659.0
FDB23,OUT046,3623.0
FDR49,OUT045,693.0
FDB03,OUT010,1915.0
FDN39,OUT045,2613.0
FDX02,OUT027,4991.0
FDQ16,OUT027,3201.0
FDU35,OUT018,1331.0
NCT29,OUT013,1960.0
FDZ27,OUT046,821.0
FDN57,OUT017,2343.0
FDA03,OUT018,2095.0
FDZ36,OUT045,2919.0
NCU05,OUT013,1324.0
FDT39,OUT018,2190.0
FDK60,OUT017,1703.0
FDZ25,OUT017,2839.0
FDG12,OUT046,2015.0
DRB01,OUT019,1119.0
NCC43,OUT027,5384.0
FDX13,OUT019,2033.0
FDM22,OUT049,1031.0
FDJ03,OUT027,2318.0
FDU14,OUT018,3678.0
FDB33,OUT010,633.0
FDP27,OUT046,3015.0
FDO38,OUT010,-669.0
FDE28,OUT027,5154.0
FDO27,OUT035,1701.0
DRL23,OUT027,3182.0
FDS28,OUT046,969.0
FDX24,OUT013,1540.0
FDZ02,OUT035,1747.0
FDL46,OUT045,1811.0
FDS60,OUT027,4307.0
NCO06,OUT017,635.0
FDO16,OUT035,1531.0
FDC60,OUT049,1548.0
FDA48,OUT018,3201.0
FDZ36,OUT027,4458.0
FDK27,OUT045,1879.0
FDW23,OUT018,387.0
FDM14,OUT018,1511.0
FDM14,OUT013,1784.0
FDW60,OUT018,2603.0
FDE21,OUT013,1908.0
NCM42,OUT035,1884.0
FDY59,OUT010,-385.0
DRI49,OUT049,1385.0
FDT28,OUT019,513.0
FDQ22,OUT018,410.0
FDR60,OUT049,1336.0
FDC50,OUT019,-395.0
FDV24,OUT013,2440.0
DRF48,OUT010,1073.0
FDQ47,OUT046,649.0
DRN36,OUT049,1663.0
NCY06,OUT035,2176.0
FDE52,OUT035,1643.0
NCB54,OUT045,1940.0
NCF31,OUT035,2552.0
FDJ08,OUT027,4461.0
NCC07,OUT017,1789.0
NCD19,OUT027,2340.0
FDL46,OUT049,2011.0
FDM20,OUT045,3825.0
NCI06,OUT010,927.0
DRM11,OUT035,4221.0
NCH07,OUT018,2217.0
FDS23,OUT013,2084.0
FDO49,OUT018,598.0
FDS35,OUT049,1165.0
DRK39,OUT045,1263.0
DRI39,OUT049,1045.0
FDV04,OUT017,2637.0
NCN14,OUT035,3008.0
FDH08,OUT013,3692.0
FDS20,OUT046,2911.0
FDV40,OUT049,1344.0
FDZ48,OUT010,-143.0
FDS24,OUT027,2921.0
FDK44,OUT049,2859.0
FDS48,OUT045,2339.0
FDK26,OUT010,1101.0
FDD23,OUT045,2967.0
NCH54,OUT017,2639.0
NCP14,OUT010,-245.0
FDM60,OUT010,-1199.0
FDV24,OUT017,2503.0
FDH08,OUT018,3355.0
FDS12,OUT027,3481.0
FDR39,OUT027,4324.0
FDP12,OUT027,2131.0
DRF60,OUT027,5185.0
FDC09,OUT035,1849.0
FDF50,OUT018,2863.0
FDG28,OUT035,4039.0
NCE19,OUT017,987.0
NCM53,OUT010,-199.0
NCN18,OUT049,1853.0
FDF32,OUT035,3299.0
FDF11,OUT013,3864.0
DRI59,OUT049,3654.0
NCG54,OUT035,2808.0
FDM44,OUT046,1647.0
FDT57,OUT018,3471.0
FDV24,OUT046,2405.0
FDI50,OUT019,1757.0
FDS09,OUT035,1035.0
NCC31,OUT027,3906.0
FDQ07,OUT019,1597.0
FDC22,OUT017,3167.0
FDZ56,OUT046,2705.0
FDZ40,OUT019,-991.0
FDS46,OUT027,3405.0
DRD24,OUT045,2171.0
FDV45,OUT017,3103.0
FDL26,OUT045,2411.0
FDA56,OUT018,1713.0
FDN27,OUT046,1905.0
FDM20,OUT049,3977.0
FDO16,OUT017,1457.0
FDL03,OUT035,3293.0
FDE58,OUT046,1885.0
FDI02,OUT027,3294.0
NCC55,OUT019,-1261.0
FDR03,OUT018,3040.0
FDB14,OUT017,1629.0
FDR45,OUT013,3844.0
NCN07,OUT017,2159.0
FDM51,OUT019,-195.0
FDT52,OUT027,5373.0
FDL26,OUT046,2461.0
NCZ42,OUT046,3763.0
DRI47,OUT019,427.0
FDW40,OUT013,2316.0
FDN34,OUT046,2741.0
FDS01,OUT035,2987.0
NCG55,OUT045,1776.0
FDC11,OUT035,1545.0
FDX35,OUT018,3345.0
NCB06,OUT046,2527.0
FDR09,OUT019,2197.0
FDC53,OUT017,1677.0
FDY45,OUT013,4068.0
FDA22,OUT010,755.0
FDE02,OUT035,1673.0
FDW21,OUT045,1613.0
FDV34,OUT046,1259.0
FDS59,OUT049,1903.0
NCW17,OUT017,2129.0
NCK54,OUT046,1867.0
FDG17,OUT019,2009.0
FDG35,OUT017,2903.0
FDD08,OUT010,-1259.0
NCO07,OUT017,3426.0
FDJ10,OUT010,371.0
FDW36,OUT017,1777.0
FDW21,OUT010,-225.0
FDY19,OUT017,1999.0
DRE03,OUT013,816.0
NCC55,OUT049,727.0
FDH52,OUT010,-821.0
FDO09,OUT017,4301.0
FDU43,OUT045,3757.0
FDX09,OUT010,863.0
FDH40,OUT019,-513.0
FDW58,OUT017,1795.0
FDC47,OUT017,3679.0
NCR41,OUT035,1654.0
DRG49,OUT035,3995.0
FDC52,OUT027,3940.0
FDY13,OUT046,1229.0
FDY35,OUT013,824.0
FDI35,OUT017,2989.0
NCU18,OUT049,2335.0
FDY33,OUT018,2285.0
FDC15,OUT027,3944.0
FDU01,OUT049,3113.0
NCU42,OUT046,2683.0
NCV29,OUT018,2531.0
NCY30,OUT017,2983.0
FDQ46,OUT049,1896.0
FDG58,OUT027,3947.0
FDK33,OUT017,3485.0
NCD07,OUT045,1764.0
NCX29,OUT027,3732.0
NCT42,OUT013,2376.0
DRN59,OUT035,903.0
FDI44,OUT035,1423.0
FDA45,OUT049,2911.0
FDP31,OUT045,1031.0
FDY01,OUT046,1871.0
FDT09,OUT018,1905.0
DRH03,OUT027,2986.0
FDA36,OUT018,2703.0
NCF31,OUT017,2519.0
FDG14,OUT049,2557.0
FDG28,OUT027,5381.0
FDU14,OUT049,4057.0
FDY47,OUT019,243.0
FDI56,OUT049,1560.0
DRD01,OUT013,992.0
FDM22,OUT046,961.0
FDH33,OUT013,732.0
DRZ24,OUT013,1912.0
NCQ38,OUT046,1683.0
FDO16,OUT027,2837.0
FDU07,OUT027,3841.0
NCB07,OUT013,3084.0
FDU48,OUT045,2047.0
NCM43,OUT045,2541.0
FDR31,OUT010,433.0
DRK49,OUT018,419.0
NCI30,OUT010,1923.0
DRD60,OUT017,2967.0
NCG19,OUT046,3677.0
FDH12,OUT035,1831.0
FDM32,OUT035,1639.0
FDM27,OUT035,2649.0
NCU53,OUT027,4076.0
NCQ18,OUT046,1563.0
FDS10,OUT013,2880.0
FDB33,OUT027,3979.0
FDI12,OUT013,1456.0
NCW42,OUT013,3504.0
NCC06,OUT018,1769.0
FDW02,OUT017,2161.0
NCD43,OUT017,1763.0
FDM57,OUT018,1115.0
FDA58,OUT017,3833.0
FDK56,OUT046,2929.0
FDP52,OUT045,3627.0
FDW20,OUT018,1723.0
FDS52,OUT049,1735.0
NCT29,OUT018,1623.0
NCL54,OUT013,2804.0
FDC05,OUT045,3107.0
FDF34,OUT035,3315.0
FDP03,OUT027,3496.0
FDD32,OUT010,-515.0
FDZ10,OUT045,1977.0
FDZ40,OUT035,1051.0
FDD51,OUT018,455.0
NCY30,OUT019,939.0
FDP58,OUT017,3531.0
FDV49,OUT017,4277.0
FDY24,OUT019,-1011.0
NCO55,OUT017,1791.0
FDR13,OUT017,2021.0
FDS51,OUT017,1129.0
FDP26,OUT045,1603.0
NCB54,OUT027,3506.0
FDF32,OUT017,3223.0
FDN31,OUT018,2727.0
DRM48,OUT017,695.0
FDN20,OUT049,2797.0
DRL01,OUT046,3711.0
