Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1881.4459417204455
FDW14,OUT017,1603.9863522390203
NCN55,OUT010,1838.3300465608743
FDQ58,OUT017,2573.2245464890834
FDY38,OUT027,5080.58797864537
FDH56,OUT046,1932.5936361636184
FDL48,OUT018,676.9387644096636
FDC48,OUT027,2800.166124926392
FDN33,OUT045,1540.8571592515132
FDA36,OUT017,3047.605146963046
FDT44,OUT017,2006.542842565843
FDQ56,OUT045,1352.4582586234467
NCC54,OUT019,1810.4887907392088
FDU11,OUT049,2067.603522600012
DRL59,OUT013,957.3559553612653
FDM24,OUT049,2546.236163921439
FDI57,OUT045,3049.6100623652883
DRC12,OUT018,2729.328324027501
NCM42,OUT027,3190.4487622231027
FDA46,OUT010,1128.2584753789445
FDA31,OUT013,2776.3917864620194
NCJ31,OUT035,3797.22276960542
FDG52,OUT046,864.6655338149701
NCL19,OUT019,398.4571510514676
FDS10,OUT035,2992.3713079090567
FDX22,OUT010,1446.0496526688896
NCF19,OUT035,989.5360243333685
NCE06,OUT046,2509.354844662147
DRC27,OUT046,3758.995758290157
FDE21,OUT035,2043.8169241890837
NCR42,OUT019,-1247.4704239241405
FDX51,OUT018,2837.5527201575624
NCR06,OUT018,513.4965553135162
FDU31,OUT027,4862.6811189102245
FDU59,OUT017,2686.1174442327206
FDR03,OUT027,4681.021179006575
FDS49,OUT027,2771.7319567130053
FDD48,OUT010,-10.951696001902747
NCF18,OUT017,3074.54197909742
NCD43,OUT027,3101.3027646608793
NCD54,OUT018,2004.494138849298
FDY19,OUT010,24.63149783081394
NCY54,OUT017,2777.1421536595226
NCL19,OUT018,2028.8405723708324
FDP23,OUT010,1514.249088201893
FDC26,OUT013,1841.8825768778518
FDR14,OUT010,-941.5683289300291
NCS41,OUT035,2993.627878809139
FDF41,OUT035,3961.903497960394
FDU34,OUT046,2005.8864955641532
DRH11,OUT046,973.2739250539844
FDM03,OUT013,1761.9815025272294
FDS31,OUT017,2991.372665422526
FDJ20,OUT017,2107.5118678231993
FDV44,OUT027,4427.960157645248
FDG02,OUT049,3076.7435415780546
FDA09,OUT013,2877.086311293767
FDT04,OUT013,755.7089140155606
FDL58,OUT019,2227.7436061669973
FDE52,OUT045,1485.6702762240207
FDW12,OUT035,2498.4881899761704
FDL51,OUT017,3495.0179237254374
NCY42,OUT027,3663.1445002324626
FDR07,OUT017,1695.8273402461566
FDN40,OUT045,2354.7903717656964
FDB35,OUT027,2965.1425820568156
FDA22,OUT017,2713.0282903289494
NCL06,OUT046,4015.364056608405
FDI35,OUT013,2890.2065291981025
NCW42,OUT045,3357.109829740318
NCX06,OUT049,2918.788998103554
FDC37,OUT027,3198.595356861651
FDZ14,OUT018,1754.9118931494781
DRG49,OUT049,3871.4936913130978
NCG06,OUT045,3877.8247066779527
DRC36,OUT045,2694.5491406711794
FDV21,OUT019,90.41099074138788
FDB53,OUT046,2337.981050557935
DRP47,OUT019,1971.2064986417965
FDA14,OUT013,2349.288128918028
DRC24,OUT035,2554.8737503681928
FDW21,OUT018,1444.3622977296798
NCH29,OUT046,1577.3949708422751
FDU58,OUT013,3042.2724345191955
FDY27,OUT017,2903.0015886584565
FDV56,OUT035,1974.9302134978257
FDT59,OUT046,3586.963068897528
FDB23,OUT046,3556.3006338467453
FDR49,OUT045,763.3176500163096
FDB03,OUT010,1869.4830889241787
FDN39,OUT045,2602.4954262397814
FDX02,OUT027,4894.412164503685
FDQ16,OUT027,3191.009530131503
FDU35,OUT018,1366.116959161206
NCT29,OUT013,1978.0443152908656
FDZ27,OUT046,883.1697545158452
FDN57,OUT017,2347.831046755297
FDA03,OUT018,2102.002447262522
FDZ36,OUT045,2890.0600228441162
NCU05,OUT013,1372.41490581875
FDT39,OUT018,2191.4623475285184
FDK60,OUT017,1736.16635306863
FDZ25,OUT017,2822.6245213476673
FDG12,OUT046,2021.8598516988543
DRB01,OUT019,1096.84164861462
NCC43,OUT027,5259.6000288628
FDX13,OUT019,1984.2839031083838
FDM22,OUT049,1098.5829950117206
FDJ03,OUT027,2348.0666923189874
FDU14,OUT018,3608.0808213905543
FDB33,OUT010,664.7774187427597
FDP27,OUT046,2964.906292320093
FDO38,OUT010,-582.7156799822967
FDE28,OUT027,5043.85073463339
FDO27,OUT035,1724.176003557112
DRL23,OUT027,3162.963725695669
FDS28,OUT046,1020.5594322131851
FDX24,OUT013,1582.7312974183674
FDZ02,OUT035,1779.475653509673
FDL46,OUT045,1837.6285533964965
FDS60,OUT027,4245.194584167892
NCO06,OUT017,712.7165775715591
FDO16,OUT035,1571.6185623961746
FDC60,OUT049,1583.7971836934496
FDA48,OUT018,3145.517211241652
FDZ36,OUT027,4385.156746067443
FDK27,OUT045,1903.7984631908141
FDW23,OUT018,466.75738238384463
FDM14,OUT018,1544.504242623269
FDM14,OUT013,1816.3375306852583
FDW60,OUT018,2584.7061912225795
FDE21,OUT013,1935.1628938239462
NCM42,OUT035,1905.2092258516418
FDY59,OUT010,-309.3230510305172
DRI49,OUT049,1411.5388234812995
FDT28,OUT019,535.7781668940211
FDQ22,OUT018,495.50478252466166
FDR60,OUT049,1380.7459946788645
FDC50,OUT019,-338.05187947546705
FDV24,OUT013,2434.319246369885
DRF48,OUT010,1067.5997813141937
FDQ47,OUT046,708.8294150879358
DRN36,OUT049,1687.7225403142095
NCY06,OUT035,2182.2369987954307
FDE52,OUT035,1681.5573784136086
NCB54,OUT045,1954.6044396155926
NCF31,OUT035,2539.1671066557933
FDJ08,OUT027,4384.000093614819
NCC07,OUT017,1818.9044042228325
NCD19,OUT027,2366.929377884817
FDL46,OUT049,2031.5566478131798
FDM20,OUT045,3754.543536537085
NCI06,OUT010,935.4610709493641
DRM11,OUT035,4120.0163499348855
NCH07,OUT018,2207.8623998593093
FDS23,OUT013,2092.9419041962747
FDO49,OUT018,674.3598330117997
FDS35,OUT049,1218.536794324645
DRK39,OUT045,1301.1402508745675
DRI39,OUT049,1095.0766977869744
FDV04,OUT017,2619.0226557046913
